Latitude,Longitude,Title,Description
48.4784726,-64.2843593,"<a href='http://ebird.org/ebird/hotspot/L956538' target='_blank'>Anse à Beaufils</a> (CA-QC-Le Rocher-Percé)","Common Eider, Great Cormorant, Herring Gull, Great Black-backed Gull - <a href='http://ebird.org/ebird/view/checklist?subID=S22374422' target='_blank'>Checklist S22374422</a>"
48.3224279,-68.8629913,"<a href='http://ebird.org/ebird/hotspot/L2742863' target='_blank'>Anse à Mercier</a> (CA-QC-Rimouski-Neigette)","Barrow's Goldeneye, Herring Gull, Glaucous Gull, Great Black-backed Gull, Mourning Dove, American Crow, Common Raven, Black-capped Chickadee, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22335860' target='_blank'>Checklist S22335860</a>"
47.5708305,-68.6421511,"<a href='http://ebird.org/ebird/hotspot/L2593984' target='_blank'>Barrage, Lac Témiscouata</a> (CA-QC-Témiscouata)","American Black Duck, Mallard, Common Goldeneye, Barrow's Goldeneye, Hooded Merganser, Common Merganser, Herring Gull, Iceland Gull, Great Black-backed Gull, American Crow, Common Raven, Black-capped Chickadee - <a href='http://ebird.org/ebird/view/checklist?subID=S22389102' target='_blank'>Checklist S22389102</a>"
49.0424816,-66.8496609,"Baye des capucin (CA-QC-La Haute-Gaspésie)","Blue Jay, Snow Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S22352995' target='_blank'>Checklist S22352995</a>"
48.3481852,-64.6622658,"Chandler (CA-QC-Le Rocher-Percé)","Iceland Gull, Great Black-backed Gull, American Crow, Purple Finch, Common Redpoll, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22374568' target='_blank'>Checklist S22374568</a>"
48.0389548,-66.6993499,"Chemin Quespen (CA-QC-Avignon)","Downy Woodpecker, American Crow, Black-capped Chickadee, Pine Siskin, passerine sp. - <a href='http://ebird.org/ebird/view/checklist?subID=S22389030' target='_blank'>Checklist S22389030</a>"
47.649489,-68.7931252,"Chemin du Lac (CA-QC-Témiscouata)","American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch, Pine Grosbeak, Purple Finch - <a href='http://ebird.org/ebird/view/checklist?subID=S22389241' target='_blank'>Checklist S22389241</a>"
46.8376522,-71.2121549,"<a href='http://ebird.org/ebird/hotspot/L342893' target='_blank'>Domaine de Maizerets</a> (CA-QC-Québec)","Mallard, Feral Pigeon, Hairy Woodpecker, American Crow, Black-capped Chickadee, White-breasted Nuthatch, Starling, Waxwing, Pine Siskin, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22107455' target='_blank'>Checklist S22107455</a>"
49.2498534,-65.3226471,"<a href='http://ebird.org/ebird/hotspot/L3067517' target='_blank'>Embouchure Riviere Madeleine</a> (CA-QC-La Haute-Gaspésie)","American Black Duck, Common Goldeneye, Red-breasted Merganser - <a href='http://ebird.org/ebird/view/checklist?subID=S22352246' target='_blank'>Checklist S22352246</a>"
48.3965278,-64.501462,"Grande Riviere (CA-QC-Le Rocher-Percé)","Common Eider, Common Goldeneye, Barrow's Goldeneye, Herring Gull, Iceland Gull, Great Black-backed Gull, American Crow, Starling, Pine Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S22374539' target='_blank'>Checklist S22374539</a>"
