Latitude,Longitude,Title,Description
46.3042672,7.6805484,"<a href='http://ebird.org/ebird/hotspot/L3673961' target='_blank'>Alte Rhone</a> (CH-VS)","Mallard, Grey Heron, Black Kite, Eurasian Coot, European Bee-eater, Red-backed Shrike, Common Magpie, Carrion Crow, Barn Swallow, Great Tit, Eurasian Reed-Warbler, Great Reed-Warbler, Nightingale, Stonechat, Starling, Yellowhammer, Goldfinch, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23633033' target='_blank'>Checklist S23633033</a>"
47.5518891,7.9502687,"<a href='http://ebird.org/ebird/hotspot/L2702216' target='_blank'>Bad Säckingham</a> (CH-AG)","Great Cormorant, Red Kite, Common Buzzard, Feral Pigeon, Great Tit, Firecrest, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S19611079' target='_blank'>Checklist S19611079</a>"
46.1928735,6.0282326,"<a href='http://ebird.org/ebird/hotspot/L3699976' target='_blank'>Barrage de Verbois</a> (CH-GE)","Mute Swan, Common Pochard, Tufted Duck, Common Merganser, Great Crested Grebe, Black Kite, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Tern, Common Kingfisher, Carrion Crow, White/Pied Wagtail, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23796246' target='_blank'>Checklist S23796246</a>"
46.5485164,6.6814631,"<a href='http://ebird.org/ebird/hotspot/L3092254' target='_blank'>Bois de la Chapelle</a> (CH-VD)","Common Buzzard, Common Wood-Pigeon, Tawny Owl, Eurasian Green Woodpecker, Eurasian Jay, Common Magpie, Carrion Crow, Great Tit, Robin, Black Redstart, Blackbird, White/Pied Wagtail, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19905950' target='_blank'>Checklist S19905950</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21605963' target='_blank'>Checklist S21605963</a>"
46.9782721,7.046957,"<a href='http://ebird.org/ebird/hotspot/L3331031' target='_blank'>Canal de la Broye</a> (CH-VD)","Greylag Goose, Egyptian Goose, Mallard, Great Crested Grebe, Great Cormorant, Grey Heron, Red Kite, Black Kite, Eurasian Coot, Yellow-legged Gull, Common Kestrel, Common Magpie, Carrion Crow, Barn Swallow, Blue Tit, Great Tit, Eurasian Penduline-Tit, Short-toed Treecreeper, Common Chiffchaff, White/Pied Wagtail, Chaffinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S22659134' target='_blank'>Checklist S22659134</a>"
46.9749741,7.042923,"<a href='http://ebird.org/ebird/hotspot/L3037243' target='_blank'>Chablais de Cudrefin</a> (CH-VD)","Greylag Goose, Mute Swan, swan sp., Gadwall, Eurasian Wigeon, Mallard, Northern Pintail, Eurasian/American Green-winged Teal, Common Pochard, Tufted Duck, Common Merganser, Red-breasted Merganser, Great Crested Grebe, Great Cormorant, Grey Heron, Great Egret, Eurasian Coot, Common Sandpiper, Black-headed Gull, Yellow-legged Gull, Common Kestrel, Rook, Carrion Crow, Marsh Tit, Blue Tit, Eurasian Nuthatch, Goldcrest, Blackbird, Starling, White/Pied Wagtail, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20974562' target='_blank'>Checklist S20974562</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21301862' target='_blank'>Checklist S21301862</a>"
46.7847663,6.6667593,"<a href='http://ebird.org/ebird/hotspot/L1763098' target='_blank'>Champ Pittet</a> (CH-VD)","Mute Swan, Gadwall, Mallard, Red-crested Pochard, Common Pochard, Tufted Duck, Common Goldeneye, Common Merganser, Little Grebe, Great Crested Grebe, White Stork, Great Cormorant, Great Egret, Great White Egret (Eurasian), Eurasian Marsh-Harrier, Hen Harrier, Black Kite, Common Buzzard, Water Rail, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Wood-Pigeon, Eurasian Collared-Dove, Common Cuckoo, Common Kingfisher, Lesser Spotted Woodpecker, Great Spotted Woodpecker, Eurasian Green Woodpecker, Eurasian Jay, Carrion Crow, Barn Swallow, Common House-Martin, Marsh Tit, Marsh/Willow Tit, Blue Tit, Great Tit, Long-tailed Tit, Eurasian Nuthatch, Eurasian Treecreeper, treecreeper sp., Eurasian Wren, Goldcrest, Firecrest, kinglet sp., Common Chiffchaff, Eurasian Reed-Warbler, Great Reed-Warbler, Savi's Warbler, Eurasian Blackcap, Robin, Nightingale, Black Redstart, Blackbird, Mistle Thrush, Starling, Grey Wagtail, White/Pied Wagtail, Reed Bunting, Chaffinch, Greenfinch, Siskin, Goldfinch, Serin, House Sparrow, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20804817' target='_blank'>Checklist S20804817</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20974372' target='_blank'>Checklist S20974372</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21612302' target='_blank'>Checklist S21612302</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22655564' target='_blank'>Checklist S22655564</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23796236' target='_blank'>Checklist S23796236</a>"
46.50156,6.41977,"<a href='http://ebird.org/ebird/hotspot/L3605942' target='_blank'>Champs Corbes</a> (CH-VD)","Common Shelduck, Mallard, Grey Heron, Eurasian Coot, Ruff, Common Wood-Pigeon, Eurasian Green Woodpecker, falcon sp., Common Magpie, Carrion Crow, Skylark, Barn Swallow, Blue Tit, Black Redstart, Wheatear, Starling, Yellowhammer, Greenfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23172546' target='_blank'>Checklist S23172546</a>"
46.7199382,6.5661764,"<a href='http://ebird.org/ebird/hotspot/L3012485' target='_blank'>Chavornay gravel pits</a> (CH-VD)","Mute Swan, Gadwall, Mallard, Northern Shoveler, Garganey, Eurasian/American Green-winged Teal, Eurasian Teal, dabbling duck sp., Red-crested Pochard, Ferruginous Duck, Tufted Duck, Common Merganser, Little Grebe, White Stork, Great Cormorant, Grey Heron, Purple Heron, Great Egret, Great White Egret (Eurasian), Little Egret, Red Kite, Black Kite, Common Buzzard, Common Moorhen, Eurasian Coot, Northern Lapwing, Black-headed Gull, Yellow-legged Gull, Common Wood-Pigeon, Eurasian Collared-Dove, Common Cuckoo, Common Kingfisher, Great Spotted Woodpecker, Common Kestrel, Eurasian Hobby, Common Magpie, Carrion Crow, Common Raven, Eurasian Crag-Martin, Barn Swallow, Common House-Martin, Marsh/Willow Tit, Blue Tit, Great Tit, Long-tailed Tit, Eurasian Nuthatch, Short-toed Treecreeper, Eurasian Wren, Common Chiffchaff, Eurasian Reed-Warbler, Great Reed-Warbler, Savi's Warbler, Eurasian Blackcap, Robin, Nightingale, Blackbird, Fieldfare, Song Thrush, Mistle Thrush, Starling, Dunnock, Grey Wagtail, White/Pied Wagtail, pipit sp., Yellowhammer, Reed Bunting, Chaffinch, Greenfinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20801845' target='_blank'>Checklist S20801845</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20974068' target='_blank'>Checklist S20974068</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22654549' target='_blank'>Checklist S22654549</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23035436' target='_blank'>Checklist S23035436</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23439311' target='_blank'>Checklist S23439311</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24277114' target='_blank'>Checklist S24277114</a>"
46.4501788,6.9759536,"<a href='http://ebird.org/ebird/hotspot/L3091923' target='_blank'>Col de Jaman</a> (CH-VD)","Golden Eagle, Eurasian Sparrowhawk, Red Kite, Common Buzzard, Common Kestrel, Eurasian Jay, Common Magpie, Eurasian Nutcracker, Alpine Chough, Carrion Crow, Common Raven, Barn Swallow, Coal Tit, Willow Tit, Crested Tit, Great Tit, Goldcrest, Common Chiffchaff, Redstart, Black Redstart, Ring Ouzel, Blackbird, Fieldfare, Song Thrush, Mistle Thrush, Grey Wagtail, Water Pipit, Chaffinch, Goldfinch, Linnet - <a href='http://ebird.org/ebird/view/checklist?subID=S19903293' target='_blank'>Checklist S19903293</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19914624' target='_blank'>Checklist S19914624</a>"
