Latitude,Longitude,Title,Description
47.6078,7.24669,"<a href='http://ebird.org/ebird/hotspot/L3623968' target='_blank'>Altkirch--Parcours vita</a> (FR-A)","Grey Heron, Black Kite, Common Wood-Pigeon, Eurasian Green Woodpecker, Common Kestrel, Eurasian Jackdaw, Rook, Skylark, Barn Swallow, Marsh Tit, Blue Tit, Great Tit, Eurasian Nuthatch, Common Chiffchaff, Robin, Blackbird, Song Thrush, Mistle Thrush, Chaffinch, Serin - <a href='http://ebird.org/ebird/view/checklist?subID=S23316974' target='_blank'>Checklist S23316974</a>"
47.62229,7.22693,"<a href='http://ebird.org/ebird/hotspot/L3623971' target='_blank'>Altkirch--Piste cyclable</a> (FR-A)","Mallard, Common Wood-Pigeon, Common Swift, Great Spotted Woodpecker, Eurasian Green Woodpecker, Carrion Crow, Common House-Martin, Marsh Tit, Blue Tit, Great Tit, Eurasian Nuthatch, Eurasian Wren, Common Chiffchaff, Eurasian Blackcap, Robin, Blackbird, Starling, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23316983' target='_blank'>Checklist S23316983</a>"
47.62679,7.23932,"<a href='http://ebird.org/ebird/hotspot/L3623973' target='_blank'>Altkirch--gare (train station)</a> (FR-A)","Mallard, Great Cormorant, Common Wood-Pigeon, Common Kestrel, Peregrine Falcon, Carrion Crow, Eurasian Blackcap, Black Redstart, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23316989' target='_blank'>Checklist S23316989</a>"
47.5496814,7.2600532,"<a href='http://ebird.org/ebird/hotspot/L3630408' target='_blank'>Birkenhof</a> (FR-A)","White Stork, Grey Heron, Red Kite, Black Kite, Common Buzzard, Carrion Crow, Barn Swallow, White/Pied Wagtail - <a href='http://ebird.org/ebird/view/checklist?subID=S23354592' target='_blank'>Checklist S23354592</a>"
48.39438,7.26909,"<a href='http://ebird.org/ebird/hotspot/L3592037' target='_blank'>Champ du Feu</a> (FR-A)","Eurasian Sparrowhawk, Common Buzzard, Buteo sp., Common Wood-Pigeon, Common Cuckoo, Common Kestrel, Eurasian Jay, Common Magpie, Carrion Crow, Barn Swallow, Coal Tit, Marsh Tit, Blue Tit, Great Tit, Long-tailed Tit, Short-toed Treecreeper, Eurasian Wren, Firecrest, kinglet sp., Common Chiffchaff, Robin, Black Redstart, Ring Ouzel, Blackbird, Fieldfare, Song Thrush, Mistle Thrush, Dunnock, Tree Pipit, Chaffinch, Bullfinch, Greenfinch, Crossbill, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S23067520' target='_blank'>Checklist S23067520</a>"
47.4943997,7.3143786,"<a href='http://ebird.org/ebird/hotspot/L3786569' target='_blank'>Ferrette</a> (FR-A)","Mallard, Black Kite, Common Buzzard, Common Swift, Common House-Martin, Common Chiffchaff, Spotted Flycatcher, Blackbird, Fieldfare - <a href='http://ebird.org/ebird/view/checklist?subID=S24239843' target='_blank'>Checklist S24239843</a>"
47.78035,7.16164,"<a href='http://ebird.org/ebird/hotspot/L3736692' target='_blank'>Judenmatten</a> (FR-A)","Egyptian Goose, Mallard, Great Crested Grebe, White Stork, Grey Heron, Great Egret, Black Kite, Common Buzzard, Eurasian Coot, Little Ringed Plover, Black-headed Gull, Yellow-legged Gull, Common Tern, Common Wood-Pigeon, Common Swift, Common Kestrel, Common Magpie, Eurasian Jackdaw, Carrion Crow, Barn Swallow, Common House-Martin, Blue Tit, Great Tit, Melodious Warbler, Eurasian Blackcap, Stonechat, Blackbird, Starling, White/Pied Wagtail, Yellowhammer, Greenfinch, Goldfinch, Linnet, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23980472' target='_blank'>Checklist S23980472</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24731585' target='_blank'>Checklist S24731585</a>"
47.7579852,7.1207285,"<a href='http://ebird.org/ebird/hotspot/L2312686' target='_blank'>Michelbach--Lac de Michelbach</a> (FR-A)","Greylag Goose, Mute Swan, Egyptian Goose, Gadwall, Eurasian Wigeon, Mallard, Northern Shoveler, Eurasian/American Green-winged Teal, Eurasian Teal, Common Pochard, Tufted Duck, Velvet Scoter, Common Goldeneye, Common Merganser, Great Crested Grebe, White Stork, Great Cormorant, Grey Heron, Great Egret, Black Kite, Common Buzzard, Common Moorhen, Eurasian Coot, Common Crane, Common Sandpiper, Common Greenshank, Wood Sandpiper, Common Snipe, Black-headed Gull, Mew Gull, Yellow-legged Gull, Common Tern, Common Wood-Pigeon, Common Kingfisher, Great Spotted Woodpecker, Eurasian Green Woodpecker, Common Kestrel, Eurasian Jay, Common Magpie, Eurasian Jackdaw, Carrion Crow, Common Raven, Barn Swallow, Blue Tit, Great Tit, Eurasian Nuthatch, Eurasian Treecreeper, Goldcrest, Phylloscopus sp., Robin, Blackbird, Starling, Grey Wagtail, White/Pied Wagtail, Yellowhammer, Chaffinch, Brambling, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20911143' target='_blank'>Checklist S20911143</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21096716' target='_blank'>Checklist S21096716</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22758195' target='_blank'>Checklist S22758195</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23980484' target='_blank'>Checklist S23980484</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24731595' target='_blank'>Checklist S24731595</a>"
48.43716,7.40466,"<a href='http://ebird.org/ebird/hotspot/L3739732' target='_blank'>Mont Sainte-Odile</a> (FR-A)","Common Swift, Great Spotted Woodpecker, Eurasian Jay, Coal Tit, Crested Tit, Blue Tit, Great Tit, Eurasian Nuthatch, Eurasian Wren, kinglet sp., Willow Warbler, Common Chiffchaff, Wood Warbler, Black Redstart, Blackbird, Mistle Thrush, White/Pied Wagtail, Chaffinch, Greenfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S23994944' target='_blank'>Checklist S23994944</a>"
48.0409777,7.1368486,"<a href='http://ebird.org/ebird/hotspot/L3014360' target='_blank'>Munster</a> (FR-A)","White Stork - <a href='http://ebird.org/ebird/view/checklist?subID=S19305844' target='_blank'>Checklist S19305844</a>"
