Latitude,Longitude,Title,Description
42.4543045,9.0350103,"<a href='http://ebird.org/ebird/hotspot/L3815056' target='_blank'>Asco</a> (FR-H)","Lammergeier, Red Kite, Eurasian Jay, Hooded Crow, Common Raven, Blue Tit, Firecrest, Eurasian Blackcap, Spotted Flycatcher, Blackbird, Cirl Bunting, Goldfinch, Corsican Finch - <a href='http://ebird.org/ebird/view/checklist?subID=S24396853' target='_blank'>Checklist S24396853</a>"
42.3434234,9.0469891,"Barrage de Coscia (FR-H)","Common Raven, Eurasian Crag-Martin, Grey Wagtail, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24396904' target='_blank'>Checklist S24396904</a>"
42.7025815,9.4526403,"<a href='http://ebird.org/ebird/hotspot/L2468432' target='_blank'>Bastia (town)</a> (FR-H)","European Shag, Yellow-legged Gull, Eurasian Collared-Dove, Pallid Swift, swift sp., Common Kestrel - <a href='http://ebird.org/ebird/view/checklist?subID=S24325086' target='_blank'>Checklist S24325086</a>"
41.3878773,9.1639709,"<a href='http://ebird.org/ebird/hotspot/L2311576' target='_blank'>Bonifacio</a> (FR-H)","European Shag, Yellow-legged Gull, Feral Pigeon, Eurasian Collared-Dove, Pallid Swift, Common Raven, Blue Tit, Long-tailed Tit, Firecrest, Eurasian Blackcap, Moltoni's Warbler, Sardinian Warbler, Spotted Flycatcher, Cirl Bunting, Chaffinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24535737' target='_blank'>Checklist S24535737</a>"
42.55848,8.78956,"<a href='http://ebird.org/ebird/hotspot/L3802556' target='_blank'>Calvi--Plage de Calvi</a> (FR-H)","European Shag, Red Kite, Goldfinch, Serin - <a href='http://ebird.org/ebird/view/checklist?subID=S24326173' target='_blank'>Checklist S24326173</a>"
41.9015344,8.8044047,"<a href='http://ebird.org/ebird/hotspot/L2073416' target='_blank'>Capitello--Étang de Casavone</a> (FR-H)","European Shag, Common Moorhen, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Kingfisher, Great Spotted Woodpecker, Hooded Crow, Barn Swallow, Great Tit, Cetti's Warbler, Eurasian Blackcap, Sardinian Warbler, Marmora's Warbler, Spotted Flycatcher, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24535487' target='_blank'>Checklist S24535487</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24535545' target='_blank'>Checklist S24535545</a>"
42.1346457,8.596361,"<a href='http://ebird.org/ebird/hotspot/L3715286' target='_blank'>Cargese</a> (FR-H)","European Shag, Common Buzzard, Audouin's Gull, Yellow-legged Gull, Feral Pigeon, Eurasian Collared-Dove, European Scops-Owl, Great Spotted Woodpecker, Eurasian Jay, Hooded Crow, Common Raven, crow/raven sp., Barn Swallow, Common House-Martin, Blue Tit, Great Tit, Long-tailed Tit, Firecrest, Eurasian Blackcap, Sardinian Warbler, Spotted Flycatcher, Robin, Blackbird, Cirl Bunting, Greenfinch, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24325981' target='_blank'>Checklist S24325981</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24334754' target='_blank'>Checklist S24334754</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396817' target='_blank'>Checklist S24396817</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24446445' target='_blank'>Checklist S24446445</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24451819' target='_blank'>Checklist S24451819</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24535379' target='_blank'>Checklist S24535379</a>"
42.07588,8.74404,"Casaglione, D25 (FR-H)","European Scops-Owl, Eurasian Nightjar - <a href='http://ebird.org/ebird/view/checklist?subID=S24343536' target='_blank'>Checklist S24343536</a>"
42.08724,8.72457,"Coggia (FR-H)","Common Buzzard, Yellow-legged Gull, Eurasian Collared-Dove, Great Spotted Woodpecker, Hooded Crow, Barn Swallow, Eurasian Blackcap, Sardinian Warbler, Spotted Flycatcher, Robin, Spotless Starling, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24343532' target='_blank'>Checklist S24343532</a>"
42.36388,8.64837,"<a href='http://ebird.org/ebird/hotspot/L3802448' target='_blank'>Col de Palmarella (Bocca di Palmarella)</a> (FR-H)","Red-legged Partridge, Coal Tit, Firecrest, Eurasian Blackcap, Sardinian Warbler, Robin, Blackbird - <a href='http://ebird.org/ebird/view/checklist?subID=S24325457' target='_blank'>Checklist S24325457</a>"
42.2226455,8.8295351,"<a href='http://ebird.org/ebird/hotspot/L1794644' target='_blank'>Col de Sévi</a> (FR-H)","Red Kite, Alpine Swift, Great Spotted Woodpecker, Eurasian Jay, Common Raven, Common House-Martin, Blue Tit, Eurasian Blackcap, Sylvia sp., Spotted Flycatcher, Robin, Blackbird, Cirl Bunting, Greenfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24352866' target='_blank'>Checklist S24352866</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396822' target='_blank'>Checklist S24396822</a>"
42.290342,8.8784552,"<a href='http://ebird.org/ebird/hotspot/L2073432' target='_blank'>Col de Vergio</a> (FR-H)","Common Buzzard, Common Wood-Pigeon, European Scops-Owl, Great Spotted Woodpecker, Eurasian Jay, Common Raven, Woodlark, Common House-Martin, Coal Tit, Great Tit, Corsican Nuthatch, Eurasian Wren, Eurasian Blackcap, Stonechat, Blackbird, Mistle Thrush, Cirl Bunting, Chaffinch, Siskin, Corsican Finch - <a href='http://ebird.org/ebird/view/checklist?subID=S24352875' target='_blank'>Checklist S24352875</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24352876' target='_blank'>Checklist S24352876</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24396870' target='_blank'>Checklist S24396870</a>"
42.3091489,9.1500878,"<a href='http://ebird.org/ebird/hotspot/L2089858' target='_blank'>Corte</a> (FR-H)","Red Kite, Common Buzzard, Feral Pigeon, Common/Pallid Swift, Eurasian Hobby, Eurasian Jay, Common House-Martin, Blue Tit, Great Tit, Eurasian Blackcap, Spotted Flycatcher, Robin, Blackbird, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24535744' target='_blank'>Checklist S24535744</a>"
42.23897,8.84151,"<a href='http://ebird.org/ebird/hotspot/L3807501' target='_blank'>Cristinacce</a> (FR-H)","Grey Wagtail - <a href='http://ebird.org/ebird/view/checklist?subID=S24352871' target='_blank'>Checklist S24352871</a>"
42.0872038,9.4130945,"D343 -- Californian Quail Trail (FR-H)","Red-legged Partridge, Common Kestrel, Hooded Crow, Starling, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24612981' target='_blank'>Checklist S24612981</a>"
42.1247739,8.6253405,"D81 (FR-H)","Eurasian Crag-Martin - <a href='http://ebird.org/ebird/view/checklist?subID=S24440315' target='_blank'>Checklist S24440315</a>"
42.86601,9.3439,"<a href='http://ebird.org/ebird/hotspot/L3802177' target='_blank'>Delta du Canari</a> (FR-H)","Osprey, Common Buzzard, Eurasian Collared-Dove, Eurasian Blackcap, Blackbird, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24325375' target='_blank'>Checklist S24325375</a>"
41.9048115,8.7983268,"<a href='http://ebird.org/ebird/hotspot/L3836688' target='_blank'>Delta du Gravona et du Prunelli</a> (FR-H)","Mallard, European Shag, Red Kite, Common Moorhen, Little Stint, Yellow-legged Gull, Eurasian Collared-Dove, Common Kingfisher, European Bee-eater, Great Spotted Woodpecker, Common Kestrel, Red-backed Shrike, Hooded Crow, Barn Swallow, Common House-Martin, Cetti's Warbler, Eurasian Reed-Warbler, Fan-tailed Warbler, Eurasian Blackcap, Sardinian Warbler, Spectacled Warbler, Spotted Flycatcher, Stonechat, Spotless Starling, Goldfinch, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24535517' target='_blank'>Checklist S24535517</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S24535555' target='_blank'>Checklist S24535555</a>"
42.1509007,8.7503314,"<a href='http://ebird.org/ebird/hotspot/L2154006' target='_blank'>Décharge de Vico</a> (FR-H)","Red Kite, Yellow-legged Gull, Hooded Crow, Common Raven, Italian Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24352863' target='_blank'>Checklist S24352863</a>"
