Latitude,Longitude,Title,Description
43.6822894,4.6795642,"A Rocha Center -- Tourades (FR-U)","White Stork, Grey Heron, Purple Heron, Great Egret, Little Egret, Black-crowned Night-Heron, Yellow-legged Gull, Feral Pigeon, Common Wood-Pigeon, European Turtle-Dove, Eurasian Collared-Dove, Common Cuckoo, Tawny Owl, Common Swift, Common Kestrel, Eurasian Jay, Common Magpie, Eurasian Jackdaw, Cetti's Warbler, Eurasian Reed-Warbler, Nightingale, Starling, Greenfinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23738122' target='_blank'>Checklist S23738122</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23771959' target='_blank'>Checklist S23771959</a>"
43.7475371,4.8532104,"<a href='http://ebird.org/ebird/hotspot/L966755' target='_blank'>Alpilles</a> (FR-U)","Short-toed Eagle, Bonelli's Eagle, Alpine Swift, Common Swift, Common Kestrel, Eurasian Jackdaw, Woodlark, Crested Tit, Blue Tit, Sardinian Warbler, Dartford Warbler, Nightingale, Blackbird, Cirl Bunting, Chaffinch, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S23764500' target='_blank'>Checklist S23764500</a>"
43.70843,4.96184,"Aureille, Chemin de la Station (FR-U)","Bonelli's Eagle, Black Kite, Common Wood-Pigeon, European Turtle-Dove, Eurasian Collared-Dove, Common Swift, Common Kestrel, Southern Grey/Steppe Grey Shrike, Woodchat Shrike, Carrion Crow, Woodlark, Common House-Martin, Blue Tit, Subalpine Warbler, Sardinian Warbler, Dartford Warbler, Nightingale, Redstart, Stonechat, Starling, Ortolan Bunting, Chaffinch, Greenfinch, Goldfinch, Serin, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23796242' target='_blank'>Checklist S23796242</a>"
43.6683062,4.6537828,"Beauchamp (FR-U)","Mallard, Great Crested Grebe, White Stork, Little Bittern, Grey Heron, Little Egret, Cattle Egret, Squacco Heron, Black Kite, Common Buzzard, Common Moorhen, Black-winged Stilt, Common Wood-Pigeon, European Turtle-Dove, Eurasian Collared-Dove, Common Swift, Common Kingfisher, Eurasian Green Woodpecker, Eurasian Golden Oriole, Eurasian Jackdaw, Carrion Crow, Barn Swallow, Great Tit, Cetti's Warbler, Melodious Warbler, Savi's Warbler, Fan-tailed Warbler, Blackcap, Nightingale, Starling, Corn Bunting, Greenfinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23771346' target='_blank'>Checklist S23771346</a>"
43.4009006,4.5962763,"<a href='http://ebird.org/ebird/hotspot/L2075966' target='_blank'>Camargue--Beauduc</a> (FR-U)","Mute Swan, Common Shelduck, Greater Flamingo, Grey Heron, Black-crowned Night-Heron, Eurasian Marsh-Harrier, Black Kite, Pied Avocet, Kentish Plover, Common Ringed Plover, Sanderling, Slender-billed Gull, Black-headed Gull, Yellow-legged Gull, Gull-billed Tern, Common Tern, Common Swift, European Bee-eater, Skylark, Barn Swallow, Cetti's Warbler, Fan-tailed Warbler, Whinchat, Western Yellow Wagtail, Tawny Pipit, Corn Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S23752355' target='_blank'>Checklist S23752355</a>"
43.4540872,4.5836645,"<a href='http://ebird.org/ebird/hotspot/L932458' target='_blank'>Camargue--Digue à la Mer</a> (FR-U)","Common Shelduck, Mallard, Greater Flamingo, Grey Heron, Little Egret, Little Egret x Western Reef-Heron (hybrid), Eurasian Spoonbill, Common Buzzard, Eurasian Oystercatcher, Kentish Plover, Common Greenshank, Common Redshank, Slender-billed Gull, Black-headed Gull, Mediterranean Gull, Yellow-legged Gull, Little Tern, Common Tern, Common Wood-Pigeon, Common Swift, Crested Lark, Skylark, Barn Swallow, Cetti's Warbler, Fan-tailed Warbler, Sardinian Warbler, Spectacled Warbler, Starling, Western Yellow Wagtail, Tawny Pipit, Corn Bunting, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23752348' target='_blank'>Checklist S23752348</a>"
43.5139187,4.6577096,"<a href='http://ebird.org/ebird/hotspot/L2089346' target='_blank'>Camargue--Marais du Grenouillet</a> (FR-U)","Mute Swan, Greater Flamingo, White Stork, Grey Heron, Purple Heron, Great Egret, Little Egret, Cattle Egret, Black-crowned Night-Heron, Glossy Ibis, Short-toed Eagle, Eurasian Marsh-Harrier, Black Kite, Eurasian Coot, Mediterranean Gull, Yellow-legged Gull, European Turtle-Dove, Common Cuckoo, Common Kingfisher, European Bee-eater, Cetti's Warbler, Melodious Warbler, Eurasian Reed-Warbler, Fan-tailed Warbler, Sardinian Warbler, Corn Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S23751412' target='_blank'>Checklist S23751412</a>"
43.5937573,4.543705,"<a href='http://ebird.org/ebird/hotspot/L932858' target='_blank'>Camargue--Mas d'Agon</a> (FR-U)","Mute Swan, Mallard, Red-crested Pochard, Common Pheasant, Little Grebe, Great Crested Grebe, Greater Flamingo, Great Cormorant, Little Bittern, Grey Heron, Purple Heron, Great Egret, Little Egret, Cattle Egret, Squacco Heron, Black-crowned Night-Heron, Glossy Ibis, Eurasian Spoonbill, Eurasian Marsh-Harrier, Montagu's Harrier, Black Kite, Common Buzzard, Common Moorhen, Eurasian Coot, Stone Curlew, Black-winged Stilt, Northern Lapwing, Black-headed Gull, Mediterranean Gull, Yellow-legged Gull, Common Tern, Feral Pigeon, European Turtle-Dove, Eurasian Collared-Dove, Common Cuckoo, Little Owl, Common Swift, Common Kingfisher, European Bee-eater, European Roller, Common Kestrel, Common Magpie, Eurasian Jackdaw, Carrion Crow, Bearded Tit, Skylark, Barn Swallow, Common House-Martin, Cetti's Warbler, Eurasian Reed-Warbler, Great Reed-Warbler, Fan-tailed Warbler, Nightingale, Starling, Western Yellow Wagtail, Reed Bunting, Corn Bunting, House Sparrow, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23750990' target='_blank'>Checklist S23750990</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S23797523' target='_blank'>Checklist S23797523</a>"
43.5059384,4.6328133,"<a href='http://ebird.org/ebird/hotspot/L3183254' target='_blank'>Camargue--Mas de Fiélouse</a> (FR-U)","Black Kite, European Bee-eater, Skylark, Melodious Warbler, Spectacled Warbler, Tawny Pipit, Corn Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S23751318' target='_blank'>Checklist S23751318</a>"
43.544971,4.6302652,"<a href='http://ebird.org/ebird/hotspot/L2089352' target='_blank'>Camargue--Étang de Vaccarès--Égout de Roquemaure</a> (FR-U)","Common Shelduck, Mallard, Great Crested Grebe, Black-necked Grebe, Greater Flamingo, Great Cormorant, Little Egret, Yellow-legged Gull, Common Tern, Eurasian Reed-Warbler, Fan-tailed Warbler, Corn Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S23751034' target='_blank'>Checklist S23751034</a>"
