Latitude,Longitude,Title,Description
46.0905513,5.0866699,"Above Villars-les-Dombes (FR-V)","Barnacle Goose, Canada Goose, Little Grebe, Great Crested Grebe, Purple Heron, Great Egret, Little Egret, Cattle Egret, Common Buzzard, Northern Lapwing, Common Snipe, Black-headed Gull, Common Wood-Pigeon, Eurasian Collared-Dove, Eurasian Jay, Common Magpie, Rook, Carrion Crow, Blackbird, Starling, White/Pied Wagtail - <a href='http://ebird.org/ebird/view/checklist?subID=S19331380' target='_blank'>Checklist S19331380</a>"
45.70685,5.88794,"Aix-les-Bains, 246 Grand Port Avenue (FR-V)","Mallard, Common Pochard, Tufted Duck, Great Crested Grebe, Great Cormorant (Eurasian), Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Wood-Pigeon, Common Kingfisher, Common Magpie, Great Tit, Robin, Blackbird, Grey Wagtail, White/Pied Wagtail, Chaffinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20351766' target='_blank'>Checklist S20351766</a>"
47.6244067,7.2413957,"Altkirch-home (FR-A)","Eurasian Sparrowhawk, Common Buzzard, Feral Pigeon, Common Wood-Pigeon, Common Swift, Great Spotted Woodpecker, Peregrine Falcon, Eurasian Jay, Common Magpie, Eurasian Jackdaw, Carrion Crow, Marsh/Willow Tit, Great Tit, Blue Tit, Eurasian Nuthatch, Eurasian Wren, Blackcap, Robin, Redstart, Blackbird, Grey Wagtail, White/Pied Wagtail, Chaffinch, Goldfinch, Serin, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19304966' target='_blank'>Checklist S19304966</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19304980' target='_blank'>Checklist S19304980</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19305081' target='_blank'>Checklist S19305081</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20228208' target='_blank'>Checklist S20228208</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20621786' target='_blank'>Checklist S20621786</a>"
48.7955,7.3809457,"Bois d'Ernolsheim (FR-A)","Grey Heron, Common Buzzard, Common Wood-Pigeon, Great Spotted Woodpecker, Eurasian Jay, Rook, Carrion Crow, Great Tit, Blue Tit, Long-tailed Tit, Eurasian Nuthatch, Short-toed Treecreeper, Eurasian Wren, kinglet sp., Blackbird, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S21029229' target='_blank'>Checklist S21029229</a>"
45.2872177,5.7880783,"<a href='http://ebird.org/ebird/hotspot/L3018946' target='_blank'>Chamechaude</a> (FR-V)","Eurasian Jay, Alpine Chough, Carrion Crow, Common Raven, Marsh Tit, Coal Tit, Great Tit, Robin, Wheatear, Crossbill, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19331289' target='_blank'>Checklist S19331289</a>"
46.12099,5.90139,"Collonges, 1440 Pont Carnot Road (FR-V)","Great Cormorant, Great Egret, Common Buzzard, shorebird sp., Great Spotted Woodpecker, Eurasian Jay, Great Tit, Robin, Grey Wagtail - <a href='http://ebird.org/ebird/view/checklist?subID=S20389104' target='_blank'>Checklist S20389104</a>"
48.7724826,2.7211761,"Forêt Domaniale d'Armainvilliers (FR-J)","Mute Swan, Mallard, Common Buzzard, Eurasian Collared-Dove, Common Magpie, Rook, Carrion Crow, Great Tit, Long-tailed Tit, Eurasian Nuthatch, Eurasian Wren, Blackcap, Blackbird, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S19304941' target='_blank'>Checklist S19304941</a>"
47.5909413,7.2153676,"Hirtzbach (FR-A)","Common Buzzard, Feral Pigeon, Eurasian Green Woodpecker, Eurasian Jay, Common Magpie, Carrion Crow, Great Tit, Eurasian Nuthatch, Eurasian Wren, Blackbird, Starling, White/Pied Wagtail, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20228201' target='_blank'>Checklist S20228201</a>"
46.1171455,5.91492,"LPO Migrant Bird Count (FR-V)","Greylag Goose, White Stork, Great Cormorant, Grey Heron, Osprey, European Honey-buzzard, Greater Spotted Eagle, Golden Eagle, Eurasian Marsh-Harrier, Northern Harrier, Eurasian Sparrowhawk, Red Kite, Black Kite, Common Buzzard, Common Crane, Stock Dove, Common Wood-Pigeon, Lesser Spotted Woodpecker, Great Spotted Woodpecker, Black Woodpecker, Eurasian Green Woodpecker, Common Kestrel, Peregrine Falcon, Eurasian Jay, Common Magpie, Carrion Crow, Common Raven, Barn Swallow, Common House-Martin, swallow sp., Great Tit, Blue Tit, Long-tailed Tit, Eurasian Nuthatch, Blackcap, Robin, Black Redstart, Stonechat, Blackbird, Song Thrush, Starling, White/Pied Wagtail, Yellowhammer, Cirl Bunting, Chaffinch, Greenfinch, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S19852024' target='_blank'>Checklist S19852024</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19868718' target='_blank'>Checklist S19868718</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20023275' target='_blank'>Checklist S20023275</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20023278' target='_blank'>Checklist S20023278</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20237183' target='_blank'>Checklist S20237183</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20286307' target='_blank'>Checklist S20286307</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20286403' target='_blank'>Checklist S20286403</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20315587' target='_blank'>Checklist S20315587</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20362878' target='_blank'>Checklist S20362878</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S20401138' target='_blank'>Checklist S20401138</a>"
46.1613449,5.5882215,"Lac de Nantua (FR-V)","Mute Swan, Mallard, Little Grebe, Great Crested Grebe, Great Cormorant, Eurasian Coot, Black-headed Gull, Common Magpie, Carrion Crow - <a href='http://ebird.org/ebird/view/checklist?subID=S20048130' target='_blank'>Checklist S20048130</a>"
46.1235427,5.8208549,"<a href='http://ebird.org/ebird/hotspot/L3125027' target='_blank'>Les Pertes de la Valserine</a> (FR-V)","Great Spotted Woodpecker, Eurasian Jay, Common Magpie, Rook, Carrion Crow, Coal Tit, Great Tit, Blue Tit, Long-tailed Tit, Eurasian Nuthatch, Eurasian Wren, White-fronted Dipper, kinglet sp., Robin, Blackbird, Chaffinch, Hawfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S20254938' target='_blank'>Checklist S20254938</a>"
47.7579852,7.1207285,"<a href='http://ebird.org/ebird/hotspot/L2312686' target='_blank'>Michelbach--Lac de Michelbach</a> (FR-A)","Greylag Goose, Mute Swan, Egyptian Goose, Gadwall, Eurasian Wigeon, Mallard, Eurasian/American Green-winged Teal, Common Pochard, Tufted Duck, White-winged Scoter, Common Goldeneye, Common Merganser, Great Crested Grebe, White Stork, Great Cormorant, Grey Heron, Great Egret, Common Buzzard, Common Moorhen, Eurasian Coot, Common Crane, Black-headed Gull, Mew Gull, Yellow-legged Gull, Common Wood-Pigeon, Great Spotted Woodpecker, Eurasian Jay, Common Magpie, Eurasian Jackdaw, Carrion Crow, Common Raven, Great Tit, Blue Tit, Eurasian Nuthatch, Eurasian Treecreeper, Goldcrest, Robin, Blackbird, Starling, Grey Wagtail, White/Pied Wagtail, Yellowhammer, Chaffinch, Brambling, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20911143' target='_blank'>Checklist S20911143</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S21096716' target='_blank'>Checklist S21096716</a>"
45.9363855,5.8302104,"<a href='http://ebird.org/ebird/hotspot/L2205122' target='_blank'>Motz--Espace Sports et Nature du Fier</a> (FR-V)","Mute Swan, Gadwall (Common), Mallard, Great Crested Grebe, Great Cormorant (Eurasian), Eurasian Coot, Common Sandpiper, Black-headed Gull, Yellow-legged Gull, Eurasian Green Woodpecker, Eurasian Jay, Carrion Crow, Great Tit, Blue Tit, Eurasian Wren, Robin, pipit sp., Chaffinch, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S20329075' target='_blank'>Checklist S20329075</a>"
48.0409777,7.1368486,"<a href='http://ebird.org/ebird/hotspot/L3014360' target='_blank'>Munster</a> (FR-A)","White Stork - <a href='http://ebird.org/ebird/view/checklist?subID=S19305844' target='_blank'>Checklist S19305844</a>"
47.5722263,7.0483732,"Petite Taille (FR-I)","Mallard, Grey Heron, Great Egret, Eurasian Marsh-Harrier, Black Kite, Common Buzzard, Eurasian Coot, Eurasian Collared-Dove, Common Kingfisher, Eurasian Jay, Common Magpie, Eurasian Jackdaw, Carrion Crow, Barn Swallow, Great Tit, Blue Tit, Long-tailed Tit, Blackbird, Grey Wagtail, Chaffinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19305020' target='_blank'>Checklist S19305020</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S19305206' target='_blank'>Checklist S19305206</a>"
47.7681184,7.2381234,"<a href='http://ebird.org/ebird/hotspot/L3014255' target='_blank'>Plan d'eau de Reningue</a> (FR-A)","Mallard, Great Crested Grebe, Common Buzzard, Sand Martin, Blackbird - <a href='http://ebird.org/ebird/view/checklist?subID=S19305198' target='_blank'>Checklist S19305198</a>"
46.0994833,5.7291555,"<a href='http://ebird.org/ebird/hotspot/L3102701' target='_blank'>Plateau de Retord</a> (FR-V)","Common House-Martin, Coal Tit, White/Pied Wagtail, Chaffinch, Crossbill - <a href='http://ebird.org/ebird/view/checklist?subID=S19990617' target='_blank'>Checklist S19990617</a>"
48.5737819,7.7618408,"Port Austerlitz (FR-A)","Eurasian Oystercatcher - <a href='http://ebird.org/ebird/view/checklist?subID=S21206272' target='_blank'>Checklist S21206272</a>"
