Latitude,Longitude,Title,Description
51.4739657,-.235219,"Barn Elms Playing Fields (GB-ENG-London)","Common Kingfisher - <a href='http://ebird.org/ebird/view/checklist?subID=S19305071' target='_blank'>Checklist S19305071</a>"
50.679316,-3.4571837,"<a href='http://ebird.org/ebird/hotspot/L1072855' target='_blank'>Bowling Green--marsh</a> (GB-ENG-Devon)","Grey Heron, Little Egret, Spotted Redshank, Common Greenshank, Black-tailed Godwit, Dunlin, Little Gull, Ross's Gull, Common Swift, Eurasian Jackdaw, Carrion Crow, Barn Swallow, Blue Tit, Eurasian Wren - <a href='http://ebird.org/ebird/view/checklist?subID=S19305164' target='_blank'>Checklist S19305164</a>"
53.0587551,-1.6294098,"<a href='http://ebird.org/ebird/hotspot/L2236054' target='_blank'>Carsington Water</a> (GB-ENG-Derbyshire)","Canada Goose, Mallard, Great Northern Diver, Eurasian Coot, Northern Lapwing, Common Wood-Pigeon, Common Magpie, Marsh Tit, Great Tit, Blue Tit, Robin, Blackbird, Dunnock, Reed Bunting, Bullfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S20772645' target='_blank'>Checklist S20772645</a>"
53.2791271,-3.8040794,"<a href='http://ebird.org/ebird/hotspot/L1222559' target='_blank'>Conwy RSPB Reserve</a> (GB-WLS-Conwy)","Canada Goose, Mute Swan, Mallard, Eurasian/American Green-winged Teal, Great Crested Grebe, Grey Heron, Common Moorhen, Eurasian Coot, Eurasian Oystercatcher, Northern Lapwing, Common Sandpiper, Black-tailed Godwit, Common Snipe, Black-headed Gull, Herring Gull, Common Swift, Common Kingfisher, Common Magpie, Common House-Martin, Blue Tit, Blackcap, Blackbird, White/Pied Wagtail, Chaffinch, Goldfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19305455' target='_blank'>Checklist S19305455</a>"
50.9309436,.9394598,"<a href='http://ebird.org/ebird/hotspot/L918439' target='_blank'>Dungeness RSPB Reserve</a> (GB-ENG-Kent)","Greylag Goose, Common Pochard, Tufted Duck, Great Cormorant, Little Egret, Eurasian Coot, Common Ringed Plover, Eurasian Collared-Dove, Rook, Carrion Crow, Chaffinch, Linnet - <a href='http://ebird.org/ebird/view/checklist?subID=S19331202' target='_blank'>Checklist S19331202</a>"
52.5460173,-3.9811363,"<a href='http://ebird.org/ebird/hotspot/L1290308' target='_blank'>Dyfi Estuary</a> (GB-WLS-Ceredigion)","Osprey, Common Buzzard, Eurasian Oystercatcher, Herring Gull, Eurasian Collared-Dove, Eurasian Jay, Rook, Great Tit, Blue Tit, Robin, Blackbird, Dunnock, Chaffinch, Greenfinch, Lesser Redpoll, Siskin - <a href='http://ebird.org/ebird/view/checklist?subID=S19305308' target='_blank'>Checklist S19305308</a>"
50.8338007,-1.0290456,"<a href='http://ebird.org/ebird/hotspot/L1190736' target='_blank'>Farlington Marshes LNR</a> (GB-ENG-Hampshire)","Brent Goose, Canada Goose, Mute Swan, Common Shelduck, Gadwall, Eurasian Wigeon, Mallard (Domestic type), Northern Shoveler, Northern Pintail, Eurasian/American Green-winged Teal, Red-breasted Merganser, Little Grebe, Great Crested Grebe, Little Egret, Common Buzzard, Common Moorhen, Eurasian Coot, Eurasian Oystercatcher, Grey Plover, Northern Lapwing, Eurasian Curlew, Ruddy Turnstone, Dunlin, Black-headed Gull, Herring Gull, Rock Dove, Feral Pigeon, Common Wood-Pigeon, Common Magpie, Carrion Crow, Great Tit, Blue Tit, Long-tailed Tit, Eurasian Wren, Robin, Stonechat, Blackbird, Starling, White/Pied Wagtail, Rock Pipit, Chaffinch, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S19304651' target='_blank'>Checklist S19304651</a>"
51.4732574,-.3020382,"<a href='http://ebird.org/ebird/hotspot/L956644' target='_blank'>Kew Royal Botanical Gardens</a> (GB-ENG-London)","Common Kestrel - <a href='http://ebird.org/ebird/view/checklist?subID=S19304661' target='_blank'>Checklist S19304661</a>"
50.5259672,-3.5056257,"<a href='http://ebird.org/ebird/hotspot/L1210840' target='_blank'>Labrador Bay RSPB Reserve</a> (GB-ENG-Devon)","Peregrine Falcon, Cirl Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S19305515' target='_blank'>Checklist S19305515</a>"
54.515402,-3.1566811,"<a href='http://ebird.org/ebird/hotspot/L931952' target='_blank'>Lake District National Park</a> (GB-ENG-Cumbria)","Greylag Goose, Canada Goose, Mallard, Red-breasted Merganser, Grey Heron, Common Buzzard, Black-headed Gull, Lesser Black-backed Gull, Great Spotted Woodpecker, Common Magpie, Eurasian Jackdaw, Rook, Carrion Crow, Eurasian Wren, White-fronted Dipper, Robin, Wheatear, Blackbird, Starling, Dunnock, White/Pied Wagtail, Meadow Pipit, Yellowhammer, Chaffinch, Greenfinch, Goldfinch, House Sparrow, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S19304900' target='_blank'>Checklist S19304900</a>"
