Latitude,Longitude,Title,Description
46.3042672,7.6805484,"Alte Rhone (CH-VS)","Mallard, Grey Heron, Black Kite, Eurasian Coot, European Bee-eater, Red-backed Shrike, Common Magpie, Carrion Crow, Barn Swallow, Great Tit, Eurasian Reed-Warbler, Great Reed-Warbler, Nightingale, Stonechat, Starling, Yellowhammer, Goldfinch, Tree Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23633033' target='_blank'>Checklist S23633033</a>"
42.4543045,9.0350103,"<a href='http://ebird.org/ebird/hotspot/L3815056' target='_blank'>Asco</a> (FR-H)","Lammergeier, Red Kite, Eurasian Jay, Hooded Crow, Common Raven, Blue Tit, Firecrest, Eurasian Blackcap, Spotted Flycatcher, Blackbird, Cirl Bunting, Goldfinch, Corsican Finch - <a href='http://ebird.org/ebird/view/checklist?subID=S24396853' target='_blank'>Checklist S24396853</a>"
46.48029,6.39298,"Aubonne, Es-Bons 8 (CH-VD)","Great Cormorant, Carrion Crow, Stonechat, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S23172595' target='_blank'>Checklist S23172595</a>"
47.5518891,7.9502687,"Bad Säckingham (CH-AG)","Great Cormorant, Red Kite, Common Buzzard, Feral Pigeon, Great Tit, Firecrest, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S19611079' target='_blank'>Checklist S19611079</a>"
46.5139586,6.5049791,"Bais du Temple (CH-VD)","Mute Swan, Ringed Teal, Gadwall, Mallard, Northern Shoveler, Red-crested Pochard, Common Pochard, Tufted Duck, Common Goldeneye, Common Merganser, Little Grebe, Great Crested Grebe, Great Cormorant, Eurasian Coot, Black-headed Gull, Mew Gull, Yellow-legged Gull, Common Wood-Pigeon, Carrion Crow, Blue Tit, Great Tit, Long-tailed Tit, Firecrest, Blackbird, Starling, White/Pied Wagtail, Greenfinch, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S21831188' target='_blank'>Checklist S21831188</a>"
42.3434234,9.0469891,"Barrage de Coscia (FR-H)","Common Raven, Eurasian Crag-Martin, Grey Wagtail, Goldfinch - <a href='http://ebird.org/ebird/view/checklist?subID=S24396904' target='_blank'>Checklist S24396904</a>"
46.1928735,6.0282326,"Barrage de Verbois (CH-GE)","Mute Swan, Common Pochard, Tufted Duck, Common Merganser, Great Crested Grebe, Black Kite, Eurasian Coot, Black-headed Gull, Yellow-legged Gull, Common Tern, Common Kingfisher, Carrion Crow, White/Pied Wagtail, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S23796246' target='_blank'>Checklist S23796246</a>"
42.7025815,9.4526403,"<a href='http://ebird.org/ebird/hotspot/L2468432' target='_blank'>Bastia (town)</a> (FR-H)","European Shag, Yellow-legged Gull, Eurasian Collared-Dove, Pallid Swift, swift sp., Common Kestrel - <a href='http://ebird.org/ebird/view/checklist?subID=S24325086' target='_blank'>Checklist S24325086</a>"
46.22486,7.01113,"Bex, Route de Vasselin 5 (CH-VD)","Feral Pigeon, Common Wood-Pigeon, Great Spotted Woodpecker, Eurasian Green Woodpecker, Common Magpie, Carrion Crow, Barn Swallow, Great Tit, Eurasian Nuthatch, Black Redstart, Blackbird, Starling, White/Pied Wagtail, Yellowhammer, Chaffinch, Serin, House Sparrow - <a href='http://ebird.org/ebird/view/checklist?subID=S24169136' target='_blank'>Checklist S24169136</a>"
47.4953295,7.7113871,"Bienenberg (CH-BL)","Common Buzzard, Great Spotted Woodpecker, Eurasian Green Woodpecker, Common Kestrel, Common Magpie, Carrion Crow, Blue Tit, Great Tit, Eurasian Nuthatch, Eurasian Treecreeper, Eurasian Wren, kinglet sp., Common Chiffchaff, Robin, Black Redstart, Blackbird, Starling, Chaffinch - <a href='http://ebird.org/ebird/view/checklist?subID=S20228215' target='_blank'>Checklist S20228215</a> - <a href='http://ebird.org/ebird/view/checklist?subID=S22918276' target='_blank'>Checklist S22918276</a>"
