Latitude,Longitude,Title,Description
64.15576,-22.01622,"<a href='http://ebird.org/ebird/hotspot/L743344' target='_blank'>Bakkatjörn</a> (IS-1)","Greylag Goose, Whooper Swan, Mallard - <a href='http://ebird.org/ebird/view/checklist?subID=S22052178' target='_blank'>Checklist S22052178</a>"
64.0871319,-21.7817688,"<a href='http://ebird.org/ebird/hotspot/L1104111' target='_blank'>Elliðavatn</a> (IS-1)","Whooper Swan, Eurasian Wigeon, Mallard, Tufted Duck, Greater Scaup, Common Eider, Common Merganser, Red-breasted Merganser - <a href='http://ebird.org/ebird/view/checklist?subID=S22052155' target='_blank'>Checklist S22052155</a>"
64.0819553,-22.6919174,"<a href='http://ebird.org/ebird/hotspot/L1010991' target='_blank'>Garður--Garðskagi lighthouse</a> (IS-2)","Whooper Swan, Mallard, Common Eider, Long-tailed Duck, Red-breasted Merganser, Great Northern Diver, Iceland Gull, Glaucous Gull, Great Black-backed Gull, Eurasian Wren - <a href='http://ebird.org/ebird/view/checklist?subID=S22016881' target='_blank'>Checklist S22016881</a>"
64.0675644,-21.9472718,"<a href='http://ebird.org/ebird/hotspot/L1128925' target='_blank'>Hafnarfjörður--Lækur</a> (IS-1)","Greylag Goose, Whooper Swan, Mallard, Northern Pintail, Black-headed Gull, Common Raven - <a href='http://ebird.org/ebird/view/checklist?subID=S22051283' target='_blank'>Checklist S22051283</a>"
64.0658741,-21.9616699,"<a href='http://ebird.org/ebird/hotspot/L1320282' target='_blank'>Hafnarfjörður--höfnin (main harbour)</a> (IS-1)","Greylag Goose, Common Eider, Red-breasted Merganser, Red-throated Diver, Great Northern Diver, Great Cormorant, European Shag, Common Guillemot, Razorbill, Black Guillemot, Black-headed Gull, Iceland Gull, Glaucous Gull, Common Raven, Starling - <a href='http://ebird.org/ebird/view/checklist?subID=S22051296' target='_blank'>Checklist S22051296</a>"
63.4395351,-20.2968121,"<a href='http://ebird.org/ebird/hotspot/L1165609' target='_blank'>Heimaey--Herjólfsdalur</a> (IS-8)","Greylag Goose, Common Eider, Northern Fulmar, alcid sp., Herring Gull, Glaucous Gull, Rock Pigeon (Wild type), Snow Bunting - <a href='http://ebird.org/ebird/view/checklist?subID=S22051887' target='_blank'>Checklist S22051887</a>"
63.4452817,-20.2734017,"<a href='http://ebird.org/ebird/hotspot/L1165612' target='_blank'>Heimaey--höfnin (harbour)</a> (IS-8)","Common Eider, Red-breasted Merganser, Red-throated Diver, Northern Fulmar, Great Cormorant, European Shag, Ruddy Turnstone, Black Guillemot, Black-legged Kittiwake, Black-headed Gull, Herring Gull, Iceland Gull, Glaucous Gull, Great Black-backed Gull - <a href='http://ebird.org/ebird/view/checklist?subID=S22058030' target='_blank'>Checklist S22058030</a>"
64.0895698,-21.7566633,"<a href='http://ebird.org/ebird/hotspot/L1137126' target='_blank'>Helluvatn</a> (IS-1)","Whooper Swan, Eurasian Wigeon, Mallard, Tufted Duck, Common Eider, Common Merganser, Red-breasted Merganser - <a href='http://ebird.org/ebird/view/checklist?subID=S22051307' target='_blank'>Checklist S22051307</a>"
64.0450909,-16.1804581,"<a href='http://ebird.org/ebird/hotspot/L1141010' target='_blank'>Jökulsárlón</a> (IS-7)","Common Eider, Harlequin Duck, Long-tailed Duck, Herring Gull, Iceland Gull, Glaucous Gull, Great Black-backed Gull, Common Raven - <a href='http://ebird.org/ebird/view/checklist?subID=S22057946' target='_blank'>Checklist S22057946</a>"
63.9789734,-22.5897789,"<a href='http://ebird.org/ebird/hotspot/L1232491' target='_blank'>Keflavíkurflugvöllur</a> (IS-2)","Redwing - <a href='http://ebird.org/ebird/view/checklist?subID=S22069582' target='_blank'>Checklist S22069582</a>"
