Latitude,Longitude,Titre,Description
48.4784726,-64.2843593,<a href="http://ebird.org/ebird/hotspot/L956538">Anse à Beaufils</a> (CA-QC-Le Rocher-Percé),"Common Eider, Great Cormorant, Herring Gull, Great Black-backed Gull"
48.3224279,-68.8629913,<a href="http://ebird.org/ebird/hotspot/L2742863">Anse à Mercier</a> (CA-QC-Rimouski-Neigette),"Barrow's Goldeneye, Herring Gull, Glaucous Gull, Great Black-backed Gull, Mourning Dove, American Crow, Common Raven, Black-capped Chickadee, Pine Siskin"
47.5708305,-68.6421511,<a href="http://ebird.org/ebird/hotspot/L2593984">Barrage, Lac Témiscouata</a> (CA-QC-Témiscouata),"American Black Duck, Mallard, Common Goldeneye, Barrow's Goldeneye, Hooded Merganser, Common Merganser, Herring Gull, Iceland Gull, Great Black-backed Gull, American Crow, Common Raven, Black-capped Chickadee"
49.0424816,-66.8496609,<a href="http://ebird.org/ebird/hotspot/">Baye des capucin</a> (CA-QC-La Haute-Gaspésie),"Blue Jay, Snow Bunting"
48.3481852,-64.6622658,<a href="http://ebird.org/ebird/hotspot/">Chandler</a> (CA-QC-Le Rocher-Percé),"Iceland Gull, Great Black-backed Gull, American Crow, Purple Finch, Common Redpoll, Pine Siskin"
48.0389548,-66.6993499,<a href="http://ebird.org/ebird/hotspot/">Chemin Quespen</a> (CA-QC-Avignon),"Downy Woodpecker, American Crow, Black-capped Chickadee, Pine Siskin, passerine sp."
47.649489,-68.7931252,<a href="http://ebird.org/ebird/hotspot/">Chemin du Lac</a> (CA-QC-Témiscouata),"American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch, Pine Grosbeak, Purple Finch"
46.8376522,-71.2121549,<a href="http://ebird.org/ebird/hotspot/L342893">Domaine de Maizerets</a> (CA-QC-Québec),"Mallard, Feral Pigeon, Hairy Woodpecker, American Crow, Black-capped Chickadee, White-breasted Nuthatch, Starling, Waxwing, Pine Siskin, House Sparrow"
49.2498534,-65.3226471,<a href="http://ebird.org/ebird/hotspot/L3067517">Embouchure Riviere Madeleine</a> (CA-QC-La Haute-Gaspésie),"American Black Duck, Common Goldeneye, Red-breasted Merganser"
48.3965278,-64.501462,<a href="http://ebird.org/ebird/hotspot/">Grande Riviere</a> (CA-QC-Le Rocher-Percé),"Common Eider, Common Goldeneye, Barrow's Goldeneye, Herring Gull, Iceland Gull, Great Black-backed Gull, American Crow, Starling, Pine Siskin"
48.2205566,-69.0598676,<a href="http://ebird.org/ebird/hotspot/L2530185">Halte municipale, St-Simon-sur-Mer</a> (CA-QC-Les Basques),"Herring Gull, Glaucous Gull, Great Black-backed Gull, Hairy Woodpecker, American Crow, Common Raven, Black-capped Chickadee"
48.9008379,-67.3509336,<a href="http://ebird.org/ebird/hotspot/L2744836">Halte routière, Ste-Félicité</a> (CA-QC-La Matanie),"Common Eider, Common Goldeneye, Red-breasted Merganser, Herring Gull, Glaucous Gull, Great Black-backed Gull, American Crow, Starling, Snow Bunting"
46.878499,-71.2223911,<a href="http://ebird.org/ebird/hotspot/L2597324">Mélézin</a> (CA-QC-Québec),"Mallard, Mourning Dove, Hairy Woodpecker, American Crow, Black-capped Chickadee, White-breasted Nuthatch, American Robin, Northern Cardinal, Pine Grosbeak, Purple Finch, Pine Siskin, American Goldfinch"
48.8387394,-64.213382,<a href="http://ebird.org/ebird/hotspot/L797205">PN Forillon NP--Le Havre</a> (CA-QC-La Côte-de-Gaspé),"Common Eider, Common Goldeneye, Barrow's Goldeneye, Red-breasted Merganser, Great Cormorant, Herring Gull, Great Black-backed Gull, American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch, Snow Bunting, Pine Siskin"
48.3111758,-68.8687869,<a href="http://ebird.org/ebird/hotspot/L1353114">PN du Bic--Belvédère Raoul-Roy</a> (CA-QC-Rimouski-Neigette),"Downy Woodpecker, American Crow, Common Raven, Black-capped Chickadee, Red-breasted Nuthatch"
