Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S22771438,Common Ostrich,Struthio camelus,3,X,KE-300,,Taita Lowlands--Lumo Conservancy/Taita Hills Wildlife Sanctuary,-3.5343241,38.2464981,08-18-2012,,Historical,0,0
S21393605,Fulvous Whistling-Duck,Dendrocygna bicolor,217,1,CH-GE,,Geneva waterfront,46.2102417,6.1546,01-18-2015,11:20 AM,eBird - Stationary Count,45,1,,,3,,"<img src=""http://media.biolovision.net/www.ornitho.ch/2015-01/11346-8978976-3547.jpg"" />",avec Josué en visite sur lausanne-Bellegarde
S19304900,Greylag Goose,Anser anser,248,X,GB-ENG,Cumbria,Lake District National Park,54.515402,-3.1566811,03-24-2014,12:00 AM,eBird - Traveling Count,1440,1,98,,1,,,voyage de classe avec Imperial en hydrologie
S19331202,Greylag Goose,Anser anser,248,X,GB-ENG,Kent,Dungeness RSPB Reserve,50.9309436,.9394598,07-23-2014,09:00 AM,eBird - Stationary Count,120,1,,,1
S22614400,Greylag Goose,Anser anser,248,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,03-31-2015,11:00 AM,eBird - Traveling Count,120,1,1.2,,2,,Main Lake(1),"- <b>Weather:</b> 10°C, moderate to strong wind, sunny, no rain.  - <b>Effort:</b> Start counting all species, but impossible to have any good estimate, every location reveal new individu which might or might not be already count.  - <b>Location:</b> North (green) and South (blue) path. <a href=""http://www.wwt.org.uk/uploads/documents/1337783704_WWTLondonMAPnew.pdf"">View WWT London map.</a>  <img src=""http://api.tiles.mapbox.com/v4/rafnuss.lhm42ih3/-0.232466,51.478827,15/600x300.png?access_token&#61;pk.eyJ1IjoicmFmbnVzcyIsImEiOiIzMVE1dnc0In0.3FNMKIlQ_afYktqki-6m0g"" alt=""Mapbox Map of -0.232466,51.478827"" />  <a href=""https://www.mapbox.com/about/maps/"">© Mapbox © OpenStreetMap</a>  - <b>Other species:</b> <a href=""http://www.wwt.org.uk/news/all-news/2015/03/wwt-london-sightings/wildlife-sightings-for-31st-march-2015/"">View WWT post of the day</a> (1 Peregrine, 2 Red-Creasted Pochard)"
S22614474,Greylag Goose,Anser anser,248,3,GB-ENG,London,Sport field -- near WWT London,51.4738187,-.228492,03-31-2015,10:45 AM,eBird - Stationary Count,5,1,,,2,,,"- <b>Weather:</b> 10°C, strong wind  - <b>Effort:</b> stop an count all visible gull and goose  - <b>Location:</b> Sport field"
S19304829,Greylag Goose,Anser anser,248,X,GB-ENG,Oxfordshire,Oxford University Parks,51.7611999,-1.2523556,03-24-2014,11:00 AM,eBird - Casual Observation,0,1,,,1
S22659134,Greylag Goose,Anser anser,248,6,CH-VD,,Canal de la Broye,46.9782721,7.046957,04-03-2015,04:00 PM,eBird - Traveling Count,45,1,2,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20974562,Greylag Goose,Anser anser,248,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,12-20-2014,03:15 PM,eBird - Traveling Count,60,1,5,,3,,,Avec Améline & Raphaël sur la route d'Alsace !
S21301862,Greylag Goose,Anser anser,248,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,01-11-2015,01:00 PM,eBird - Traveling Count,60,1,2,,2
S24731607,Greylag Goose,Anser anser,248,100,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,08-23-2015,01:53 PM,eBird - Traveling Count,120,1,2,,1,,approx,Submitted from  BirdLog Euro for Android v1.9.6
S20278401,Greylag Goose,Anser anser,248,X,CH-BE,,Fanel Nature Reserve,46.9814821,7.0422792,10-18-2014,04:00 PM,eBird - Traveling Count,120,1,3,,2
S22659002,Greylag Goose,Anser anser,248,8,CH-BE,,Fanel Nature Reserve,46.9814821,7.0422792,04-03-2015,04:15 PM,eBird - Stationary Count,45,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S24239853,Greylag Goose,Anser anser,248,X,CH-BE,,Fanel Nature Reserve,46.9814821,7.0422792,07-12-2015,12:06 PM,eBird - Traveling Count,221,1,4,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S22802574,Greylag Goose,Anser anser,248,31,CH-AG,,Flachsee,47.3281194,8.3685243,04-11-2015,04:35 PM,eBird - Traveling Count,195,1,4.8,,2,,including 4 chicks.,"- <b>Weather:</b> 19°C, sunny, warm... nice weather for a nice day !  - <b>Path:</b> Started at the souhtern path and walk north on the western side of the river"
S19746102,Greylag Goose,Anser anser,248,X,IT-36,,"Foce dell'Isonzo e Isola della Cona, Riserva Naturale",45.7554093,13.4990644,09-01-2014,12:00 PM,eBird - Traveling Count,240,1,4,,2
S19611085,Greylag Goose,Anser anser,248,20,CH-SZ,,Frauwinkel,47.2070603,8.7890625,08-28-2014,06:50 PM,eBird - Casual Observation,0,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S22051283,Greylag Goose,Anser anser,248,50,IS-1,,Hafnarfjörður--Lækur,64.0675644,-21.9472718,02-19-2015,01:00 PM,eBird - Stationary Count,10,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S22051296,Greylag Goose,Anser anser,248,4,IS-1,,Hafnarfjörður--höfnin (main harbour),64.0658741,-21.9616699,02-19-2015,02:16 PM,eBird - Stationary Count,20,1,,,2,,in flight,Submitted from  BirdLog Euro for Android v1.9.6
S22051887,Greylag Goose,Anser anser,248,2,IS-8,,Heimaey--Herjólfsdalur,63.4395351,-20.2968121,02-24-2015,11:34 AM,eBird - Traveling Count,30,1,1,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20023275,Greylag Goose,Anser anser,248,X,FR-V,,LPO Migrant Bird Count,46.1171455,5.91492,10-02-2014,04:00 PM,eBird - Stationary Count,120,0,,,6,F Flyover
S20023278,Greylag Goose,Anser anser,248,X,FR-V,,LPO Migrant Bird Count,46.1171455,5.91492,10-03-2014,02:00 PM,eBird - Stationary Count,120,1,,,4
